연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
170,범산목장 인천왕산해수욕장점,"인천광역시 중구 용유서로423번길 15, 101호 (을왕동)",인천광역시 중구 을왕동 810-203 101호,2022-08-12
171,스타벅스 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 15, 세영프라자 104호 (중산동)",인천광역시 중구 중산동 1883-12 세영프라자 ,2022-08-12
172,커피포트 3호점,"인천광역시 중구 제2터미널대로 446, 인천국제공항제2여객터미널 지하1층 (운서동)",인천광역시 중구 운서동 2868 인천국제공항제2여객터미널 지하1층 한가족라운지 ,2022-08-12
173,신스(since)1956,"인천광역시 중구 서해대로 111, 1층 (항동7가)",인천광역시 중구 항동7가 104-26 ,2022-08-12
174,유라커피(U_la coffee),"인천광역시 중구 흰바위로92번길 7, 101호 (운서동)",인천광역시 중구 운서동 3112-1 ,2022-08-12
175,달빛마루 실버카페,인천광역시 중구 북성동1가 125 ,인천광역시 중구 북성동1가 125 ,2022-08-12
176,동화마을1번가,"인천광역시 중구 동화마을길 21-38, 1층 (송월동3가)",인천광역시 중구 송월동3가 11-76 ,2022-08-12
177,엠클리프,"인천광역시 중구 마시란로 51-30, 1,2층 (덕교동)",인천광역시 중구 덕교동 128-58 ,2022-08-12
178,리틀핑거,"인천광역시 중구 하늘중앙로195번길 23, 하늘프라자 403(일부)호 (중산동)",인천광역시 중구 중산동 1883-9 하늘프라자 ,2022-08-12
179,키친4B,"인천광역시 중구 제물량로 208, 1층 (해안동2가)",인천광역시 중구 해안동2가 4-16 1층 ,2022-08-12
180,"오늘, 커피",인천광역시 중구 대무의로 90 (무의동),인천광역시 중구 무의동 562 ,2022-08-12
181,할리스커피 영종덕교점,"인천광역시 중구 잠진도길 55, 1,2,3층 (덕교동)",인천광역시 중구 덕교동 103-9 ,2022-08-12
182,마시안제빵소,"인천광역시 중구 마시란로 155, 1,2층 (덕교동)",인천광역시 중구 덕교동 615-12 ,2022-08-12
183,바이번(vibeon),"인천광역시 중구 영종대로 166, 110호 (운서동)",인천광역시 중구 운서동 3087-2 ,2022-08-12
184,카페 알(cafe R),"인천광역시 중구 자연대로 632-64, 2층 (운북동)",인천광역시 중구 운북동 361-4 ,2022-08-12
185,기노스코 개항점,"인천광역시 중구 개항로 65, 1층 (경동)",인천광역시 중구 경동 237-2 1층 ,2022-08-12
186,커피홀릭협동조합,"인천광역시 중구 화랑목로100번길 27, 101(일부)호 (운서동)",인천광역시 중구 운서동 3047-6 ,2022-08-12
187,을왕리 빵판다,"인천광역시 중구 용유로745번길 14-1, 1층일부,2층 (을왕동)","인천광역시 중구 을왕동 906-1 1층일부, 2층 ",2022-08-12
188,원 오브 어스(one of us),"인천광역시 중구 미단행복로 85, 1층 (운북동)",인천광역시 중구 운북동 1266-3 ,2022-08-12
189,빽다방 영종하늘도시점,"인천광역시 중구 하늘별빛로 75, 106호 (중산동)",인천광역시 중구 중산동 1882-10 ,2022-08-12
190,할리스 인천공항T1점,"인천광역시 중구 공항로 272, 인천국제공항 제1여객터미널 L/S 1층 (운서동)",인천광역시 중구 운서동 2840 인천공항 ,2022-08-12
191,투썸플레이스 인천영종하늘중앙로,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 105,6호 (중산동)","인천광역시 중구 중산동 1873-1 영종M타워 105,6호",2022-08-12
