단속일시,단속원금,단속동,단속장소,위반내용,견인지시,경도,위도,행정동코드,행정동명
2023-03-16 13:59,32000,능동,서울 광진구 능동 242-22,교통소통장애,미견인,127.0831371,37.55266,1121578000,능동
2023-03-16 14:01,32000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:02,32000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:03,32000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:04,32000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:04,40000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:05,32000,자양동,서울특별시 광진구 동일로4길 57-16,교통소통장애,미견인,127.0639447,37.5362005,1121584700,자양4동
2023-03-16 14:09,50000,광장동,서울 광진구 광장동 241-1,주차구획선외 주차,미견인,127.1044741,37.5457506,1121581000,광장동
2023-03-16 14:16,32000,군자동,서울 광진구 군자동 464-2,보도,미견인,127.0734592,37.5582611,1121573000,군자동
2023-03-16 14:21,40000,능동," 서울특별시 광진구 능동로 216 (능동, 어린이대공원) ",교통소통장애,미견인,127.0817308,37.5492071,1121578000,능동
2023-03-16 14:22,40000,능동," 서울특별시 광진구 능동로 216 (능동, 어린이대공원) ",교통소통장애,미견인,127.0817308,37.5492071,1121578000,능동
2023-03-16 14:22,40000,능동," 서울특별시 광진구 능동로 216 (능동, 어린이대공원) ",교통소통장애,미견인,127.0817308,37.5492071,1121578000,능동
2023-03-16 14:26,32000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 14:35,32000,자양동,성동초등학교 앞,주차금지(황색점선)구역,미견인,127.0370614,37.5633851,,
2023-03-16 14:49,32000,자양동,712,횡단보도,미견인,123.7417741,32.5220203,,
2023-03-16 14:50,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인,127.0931368,37.5502684,,
2023-03-16 15:13,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 15:14,40000,자양동,서울 광진구 자양동 733-1,도로 모퉁이,미견인,127.08819,37.5317858,1121583000,자양2동
2023-03-16 15:15,32000,자양동,서울 광진구 자양동 733-1,도로 모퉁이,미견인,127.08819,37.5317858,1121583000,자양2동
2023-03-16 15:16,32000,자양동,서울 광진구 자양동 733-1,교통소통장애,미견인,127.08819,37.5317858,1121583000,자양2동
2023-03-16 15:17,32000,자양동,서울 광진구 자양동 685,교통소통장애,미견인,127.0864609,37.5316193,1121583000,자양2동
2023-03-16 15:18,40000,구의동,리젠트오피스텔건너편,안전지대,미견인,123.7417741,32.5220203,,
2023-03-16 15:51,40000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
2023-03-16 15:52,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인,123.7417741,32.5220203,,
